"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"APP-055rKogJet5fxOepLDmc1nIMh3Wu6318e421b06994fd37b3ad3a455d37ab","login","user_engagement","screen_view","hamburger_menu_clicked","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-0Tx2BgVdxib6txRVVFHWD13gPptC7436de2db59642453b0fc7897534ed01","login","user_engagement","screen_view","hamburger_menu_clicked","menu_item_clicked","menu_item_clicked","menu_item_clicked","video_play","user_engagement","user_engagement","video_closed","button_test_ios","button_clicked","video_play","user_engagement","video_closed","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-0zAj3nJA7SVYHJinXGOPd6X2qQ6P24987f6c9e0964c10321a84d65e9feec","session_start","screen_view","app_update","os_update","app_open","login","user_engagement","screen_view","install","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-20yZfjYttgR2PFJcHR08zUWUWza9e278444f3e4ca77adbef8f183fe5c1c8","login","user_engagement","screen_view","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-3KWZkybCR1INpbq6XBdyX54rR1LI9519991b5e3b238b8e24bbb0bd93859f","login","user_engagement","screen_view","button_test_ios","button_clicked","video_play","video_perc_completed","user_engagement","video_closed","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-4LAbqBzczhze1dKaMqIwWNyiW46nf7bb06ecde4a33f501d878e9ece16e64","login","user_engagement","screen_view","button_test_ios","button_clicked","video_play","video_perc_completed","video_closed","hamburger_menu_clicked","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-4ShxpQka3k1kvnQjYVgxE4Dkqgh012e94a8704e69c01ce0121ace4ff7d92","login","user_engagement","screen_view","notification_receive","notification_foreground","notification_receive","notification_foreground","notification_receive","notification_foreground","notification_receive","notification_foreground","notification_receive","notification_foreground","notification_receive","notification_foreground","notification_receive","notification_foreground","notification_receive","notification_foreground","button_test_android","button_clicked","notification_receive","notification_foreground","notification_receive","notification_foreground","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","notification_receive","notification_foreground","notification_receive","notification_foreground","notification_receive","notification_foreground","notification_receive","notification_foreground","notification_receive","notification_foreground","button_test_android","button_clicked","notification_receive","notification_foreground","notification_receive","notification_foreground","video_play","video_play","video_closed","button_test_android","button_clicked","notification_receive","notification_foreground","notification_receive","notification_foreground","user_engagement","app_remove","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-6N8ZZp07QsnSwnuiU74DVB3AhSBw4bb4baa4352e470897493cecd42a6c95","session_start","screen_view","app_update","os_update","app_open","login","user_engagement","screen_view","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-6TVqJfAh3Ukyc43QfM2O6qeoFYEk27bfda35fc4b5ce28dcab75b01d8dcb5","session_start","screen_view","app_open","login","user_engagement","screen_view","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-7i2ZSuTJHXa62pTttvvMmqVPSMHdb55ba5cc4c5cc5845988d1582ed9712a","session_start","screen_view","app_open","login","user_engagement","screen_view","user_engagement","session_start","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
