"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"APP-2GMLOivZ241YuvNMm9XnpT4DReOx8eb34fc8c8dc90aec85280fbc5209bd5","session_start","screen_view","app_open","login","user_engagement","screen_view","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","first_visit","session_start","page_view","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-4paAElKxKn3p4fRuaN5TxX4ZittKe2fd5036b4eb68a9e929c6acd26bad1e","session_start","screen_view","app_open","login","user_engagement","screen_view","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","button_test_ios","button_clicked","button_test_ios","button_clicked","button_test_ios","button_clicked","user_engagement","button_test_ios","button_clicked","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","button_test_ios","button_clicked","hamburger_menu_clicked","video_play","user_engagement","video_closed","menu_item_clicked","video_play","video_closed","hamburger_menu_clicked","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-8F5mnhaJHjBBjA6TN5DFVCqWloIBab91f9a8d6777e094b9c3ee3d2d525e1","login","user_engagement","screen_view","button_test_ios","button_clicked","video_play","user_engagement","video_manual_completed","video_completed","button_test_ios","button_clicked","video_play","video_manual_completed","video_completed","button_test_ios","button_clicked","video_play","user_engagement","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","button_test_ios","button_clicked","hamburger_menu_clicked","menu_item_clicked","first_visit","session_start","page_view","user_engagement","hamburger_menu_clicked","menu_item_clicked","first_visit","session_start","scroll","hamburger_menu_clicked","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-8Y222DEmA5puChSrca4uyEzN1ebM1fa76b5529520fbdbbfb7f037413e513","login","user_engagement","screen_view","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_closed","user_engagement","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","first_visit","session_start","page_view","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-8vuKb5jnUnWmU5PRE1pr20d8b8m47072f7478f9e5df5706f689640855b13","login","user_engagement","screen_view","button_test_ios","button_clicked","video_play","video_manual_completed","video_completed","button_test_ios","button_clicked","video_play","video_manual_completed","video_completed","button_test_ios","button_clicked","first_visit","session_start","page_view","user_engagement","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-E1OGCOWe5jjkYK2oeNzhSIRAas6x3ddd5b8061d15729b195f6c76f2ddddf","session_start","screen_view","app_open","login","user_engagement","screen_view","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-E1uSOpdNizahjOksYaGJZWlttRItea2a36a7cc846fdbb809c58c1c5c34e1","login","user_engagement","screen_view","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-Erk0q5NBrAZ9FXfWYNzoSoHyNODY988b5d6158e2c861fb18a365ce7ad9a1","session_start","screen_view","app_open","login","user_engagement","screen_view","hamburger_menu_clicked","button_test_ios","button_clicked","video_play","video_manual_completed","video_completed","button_test_ios","button_clicked","button_test_ios","button_clicked","video_play","video_manual_completed","video_completed","button_test_ios","button_clicked","button_test_ios","button_clicked","video_play","video_manual_completed","video_completed","button_test_ios","button_clicked","button_test_ios","button_clicked","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_manual_completed","video_completed","button_test_ios","button_clicked","user_engagement","button_test_ios","button_clicked","button_test_ios","button_clicked","user_engagement","session_start","button_test_ios","button_clicked","video_play","user_engagement","video_closed","button_test_ios","button_clicked","user_engagement","video_play","video_perc_completed","video_perc_completed","user_engagement","video_closed","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","user_engagement","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","button_test_ios","button_clicked","mail_inserted","mail_inserted","user_engagement","hamburger_menu_clicked","menu_item_clicked","video_play","user_engagement","user_engagement","","","","","","","","","","","","","","","","",""
"APP-GQyS97Oow6Ad08zBlSsj3dopvtwX1c34c4e04e6661e13af264dd0bb6d410","login","user_engagement","screen_view","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","button_test_ios","button_clicked","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_manual_completed","video_completed","button_test_ios","button_clicked","first_visit","session_start","page_view","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APP-HuKGnWstY59k6UKMMyI9nIQ77CLk4d2573694f7126f7553fe82bee25c439","login","user_engagement","screen_view","button_test_ios","button_clicked","video_play","video_play","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_perc_completed","video_completed","video_completed","video_play","video_closed","button_test_ios","button_clicked","button_test_ios","button_clicked","first_visit","session_start","page_view","user_engagement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
