"","user_id","dense_cluster_id","sparse_cluster_id"
"1","APP-055rKogJet5fxOepLDmc1nIMh3Wu6318e421b06994fd37b3ad3a455d37ab",1,1
"2","APP-0Tx2BgVdxib6txRVVFHWD13gPptC7436de2db59642453b0fc7897534ed01",1,1
"3","APP-0ZVj0PyNgBYlvE4C8t0isS2uuXTa5194ed283a8a5861d50143d57b5989b5",2,2
"4","APP-0igIq3QDIjHm7v78q0FsoLvmmitzd0634321c6394f62bd3609905870028c",2,2
"5","APP-0zAj3nJA7SVYHJinXGOPd6X2qQ6P24987f6c9e0964c10321a84d65e9feec",1,1
"6","APP-20w0TLO08iBLExZSrHQM0UEcVlVQdd2ca9be3c58c45678d185afda7abed9",1,2
"7","APP-20yZfjYttgR2PFJcHR08zUWUWza9e278444f3e4ca77adbef8f183fe5c1c8",1,1
"8","APP-2GMLOivZ241YuvNMm9XnpT4DReOx8eb34fc8c8dc90aec85280fbc5209bd5",3,3
"9","APP-2VjPsWv3BTOOpp6hVNUTQjucaq0Wbdf1e1503933759dedb401e0485e9239",2,2
"10","APP-3KWZkybCR1INpbq6XBdyX54rR1LI9519991b5e3b238b8e24bbb0bd93859f",1,1
"11","APP-4LAbqBzczhze1dKaMqIwWNyiW46nf7bb06ecde4a33f501d878e9ece16e64",1,1
"12","APP-4ShxpQka3k1kvnQjYVgxE4Dkqgh012e94a8704e69c01ce0121ace4ff7d92",1,1
"13","APP-4paAElKxKn3p4fRuaN5TxX4ZittKe2fd5036b4eb68a9e929c6acd26bad1e",3,3
"14","APP-6N8ZZp07QsnSwnuiU74DVB3AhSBw4bb4baa4352e470897493cecd42a6c95",1,1
"15","APP-6TVqJfAh3Ukyc43QfM2O6qeoFYEk27bfda35fc4b5ce28dcab75b01d8dcb5",1,1
"16","APP-7i2ZSuTJHXa62pTttvvMmqVPSMHdb55ba5cc4c5cc5845988d1582ed9712a",1,1
"17","APP-8F5mnhaJHjBBjA6TN5DFVCqWloIBab91f9a8d6777e094b9c3ee3d2d525e1",3,3
"18","APP-8Iyr3IHliWVYSyqwWJ3NZcuIZr05f3c1cd37c0ab7193cccaaf4f63a3b1f7",1,1
"19","APP-8Y222DEmA5puChSrca4uyEzN1ebM1fa76b5529520fbdbbfb7f037413e513",3,3
"20","APP-8vuKb5jnUnWmU5PRE1pr20d8b8m47072f7478f9e5df5706f689640855b13",3,3
"21","APP-AWRGl5LNsG1LtaSERxcTYY5POJFEc6c2b9952b00ccabd63d80c07c21e658",2,2
"22","APP-Amyo1Z6vLFyyoAZTefYZiH1cmUhv5707925ba219bc3d1af3b085a07aad83",1,2
"23","APP-BEMQXagX77kZXB4lwZUYwWEax6Zma116748c39490e397465896b887cc664",1,1
"24","APP-DnQFm5d0gU9oYNwr3JFRxSevM0EG4de38417c90358d446b04852fa67c9c5",2,2
"25","APP-DwnDaScOl7n27woBmCE0rgsqHF1Z6f650b17c6f8f85c33a584376a04de9d",1,1
"26","APP-E1OGCOWe5jjkYK2oeNzhSIRAas6x3ddd5b8061d15729b195f6c76f2ddddf",3,3
"27","APP-E1uSOpdNizahjOksYaGJZWlttRItea2a36a7cc846fdbb809c58c1c5c34e1",3,3
"28","APP-EJ9IA2mpuszrkMPSmNnPi2ikKrH621cfe103677a878efeedb46e528e30fc",2,2
"29","APP-Em6iHpyH9je4y44feOwcHMBU5nht2513102e8f4962a98b62995c1dc6bfc7",2,2
"30","APP-EpxGQe6Ypv2wVhRxmDF2bdTr0vRia57548571fd910a33c1713f9e825cd92",1,1
"31","APP-Erk0q5NBrAZ9FXfWYNzoSoHyNODY988b5d6158e2c861fb18a365ce7ad9a1",3,3
"32","APP-ExfhIuvqvo1GfksJRS7qJvoISEbM214739848531381a5077d46eaf423262",2,2
"33","APP-FEaXrRlD7r9K7tDPZ6CeaqlcoNuTcde9c1e8c975e3622302e84b00041434",1,2
"34","APP-FVe7MtTcFnHeAIkGMijvccOQAysG3825477968701a1fee0ff67a418004a9",1,1
"35","APP-GQyS97Oow6Ad08zBlSsj3dopvtwX1c34c4e04e6661e13af264dd0bb6d410",3,3
"36","APP-HoDWrqe4H8flsGwSxsn8RV4rOcHMa933d17afd0ec60ad87829c10676aff3",1,2
"37","APP-HuKGnWstY59k6UKMMyI9nIQ77CLk4d2573694f7126f7553fe82bee25c439",3,3
"38","APP-IkrhvWH95Ul9zmt70rVzpxs2VmvA3d0e4a895692891f75f08d4c0d541344",3,3
"39","APP-JR3W78eYpe9OVPLyLhTH87RK06Ale7856ef46c5f5258bd5a7f2edb67e93a",3,3
"40","APP-JZEuaRXvjdd7SoDJKdRuHcxD2XgS51d0f280446b02903050e8c4e6f4cd32",3,3
