users,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
APP-055rKogJet5fxOepLDmc1nIMh3Wu6318e421b06994fd37b3ad3a455d37ab,login,user_engagement,screen_view,hamburger_menu_clicked,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-0Tx2BgVdxib6txRVVFHWD13gPptC7436de2db59642453b0fc7897534ed01,login,user_engagement,screen_view,hamburger_menu_clicked,menu_item_clicked,menu_item_clicked,menu_item_clicked,video_play,user_engagement,user_engagement,video_closed,button_test_ios,button_clicked,video_play,user_engagement,video_closed,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-0ZVj0PyNgBYlvE4C8t0isS2uuXTa5194ed283a8a5861d50143d57b5989b5,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,user_engagement,user_engagement,hamburger_menu_clicked,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-0igIq3QDIjHm7v78q0FsoLvmmitzd0634321c6394f62bd3609905870028c,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_closed,hamburger_menu_clicked,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-0zAj3nJA7SVYHJinXGOPd6X2qQ6P24987f6c9e0964c10321a84d65e9feec,session_start,screen_view,app_update,os_update,app_open,login,user_engagement,screen_view,install,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-20w0TLO08iBLExZSrHQM0UEcVlVQdd2ca9be3c58c45678d185afda7abed9,session_start,screen_view,app_open,login,user_engagement,screen_view,video_play,user_engagement,video_perc_completed,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-20yZfjYttgR2PFJcHR08zUWUWza9e278444f3e4ca77adbef8f183fe5c1c8,login,user_engagement,screen_view,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-2GMLOivZ241YuvNMm9XnpT4DReOx8eb34fc8c8dc90aec85280fbc5209bd5,session_start,screen_view,app_open,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,button_test_ios,button_clicked,first_visit,session_start,page_view,button_test_ios,button_clicked,video_play,video_perc_completed,video_perc_completed,video_perc_completed,video_perc_completed,video_completed,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-2VjPsWv3BTOOpp6hVNUTQjucaq0Wbdf1e1503933759dedb401e0485e9239,app_remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP-3KWZkybCR1INpbq6XBdyX54rR1LI9519991b5e3b238b8e24bbb0bd93859f,login,user_engagement,screen_view,button_test_ios,button_clicked,video_play,video_perc_completed,user_engagement,video_closed,user_engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
