"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS","Hidalgo_cluster"
"15467","/home/david/Música/Bioacustica/2016/5072/20160407/TNAP5072__0__20160407_001000.wav",0.8923925,0.9015790,0.9372589,0.6121590,0.000000000,0.6680309,0.087864195,0.283579707,0.2173150,0.6973150,0.5694476,0.20200791,0.243281914,0.21591546,0.17436920,0.254523860,0.24923949,0.100141657,0.148643717,0.10367256,1, 0,"c","7/TNAP5072__0_",  3.706779,  4.609514,  5.330100,  5.162464,  5.824819,  7.900146,  1.000000,"1"
"15468","/home/david/Música/Bioacustica/2016/5072/20160407/TNAP5072__0__20160407_003000.wav",0.8947571,0.9170351,0.3585155,0.8336748,0.496932515,0.5999768,0.093531406,0.001294204,0.2262234,0.5802016,0.5594455,0.62666487,0.382578157,0.47454667,0.61445903,0.730502392,0.78911003,0.807904928,0.799194591,0.87213848,1, 0,"c","7/TNAP5072__0_",  5.672960,  6.887026,  7.705014,  7.625164,  8.436599,  9.916149,  2.000000,"2"
"15469","/home/david/Música/Bioacustica/2016/5072/20160407/TNAP5072__0__20160407_004000.wav",0.8930149,0.9642709,0.6822012,0.7891250,0.628834356,0.5761818,0.529130005,0.297686920,0.2267922,0.5526164,0.5252743,0.13904729,0.079863184,0.18858768,0.31074990,0.303433404,0.60575406,0.384379145,0.347605757,0.03813396,1, 0,"c","7/TNAP5072__0_",  3.973371,  4.762012,  5.694491,  5.324131,  6.254188,  8.639204,  3.000000,"1"
"15470","/home/david/Música/Bioacustica/2016/5072/20160407/TNAP5072__0__20160407_005000.wav",0.8929583,0.9614137,0.3364835,0.7434272,0.714723926,0.5809871,0.074951511,0.004594497,0.2326625,0.5515714,0.5303443,0.59853535,0.254301966,0.45111088,0.55279897,0.588472837,0.76345966,0.887785819,0.901881258,0.81745864,1, 0,"c","7/TNAP5072__0_",  5.672504,  6.905358,  7.750571,  7.673131,  8.485275, 10.046853,  4.000000,"2"
"15471","/home/david/Música/Bioacustica/2016/5072/20160407/TNAP5072__0__20160407_010000.wav",0.8929909,0.9296864,0.3360371,0.7896452,0.638036810,0.6061719,0.103887456,0.021799390,0.2289480,0.5899743,0.5203756,0.60340703,0.214983942,0.46565228,0.65417682,0.662088181,0.76892223,0.807287743,0.889851411,0.74437929,1, 1,"c","7/TNAP5072__0_",  5.582492,  6.856262,  7.708336,  7.642147,  8.458081,  9.980355,  5.000000,"2"
"15472","/home/david/Música/Bioacustica/2016/5072/20160407/TNAP5072__0__20160407_011000.wav",0.8947324,0.9609147,0.3660401,0.8955517,0.334355828,0.6270877,0.148119360,0.003108090,0.2329726,0.6124462,0.5031459,0.64484820,0.380162128,0.58863356,0.77090539,0.699526697,0.79911307,0.766481753,0.568747745,0.79471006,1, 1,"c","7/TNAP5072__0_",  4.918961,  5.751894,  6.631843,  6.363715,  7.256735,  9.339177,  6.000000,"3"
"15473","/home/david/Música/Bioacustica/2016/5072/20160407/TNAP5072__0__20160407_013000.wav",0.8927820,0.9805464,0.7388090,0.9238679,0.297546012,0.6112174,0.699350664,0.288958721,0.2365293,0.5924573,0.5309295,0.22936214,0.011896614,0.07532239,0.24451586,0.166792433,0.47677783,0.214354706,0.167518058,0.04372394,1, 1,"c","7/TNAP5072__0_",  3.809975,  4.623610,  5.157683,  5.106390,  5.658500,  6.678820,  7.000000,"1"
"15474","/home/david/Música/Bioacustica/2016/5072/20160407/TNAP5072__0__20160407_014000.wav",0.8924923,0.9387298,0.7405766,0.9200292,0.294478528,0.6234306,0.484193882,0.294690639,0.2295068,0.6172853,0.5516063,0.56214263,0.295512179,0.43461967,0.59354197,0.532173486,0.74247732,0.647214869,0.492183639,0.31500187,1, 1,"c","7/TNAP5072__0_",  4.043309,  4.766663,  5.468149,  5.278967,  5.941960,  7.559709,  8.000000,"1"
"15475","/home/david/Música/Bioacustica/2016/5072/20160407/TNAP5072__0__20160407_015000.wav",0.8915681,0.9244970,0.7068898,0.9589612,0.239263804,0.6327992,0.544756588,0.302344585,0.2292811,0.6335942,0.5538776,0.47178171,0.267224403,0.23490209,0.47848999,0.303754018,0.64239159,0.315632293,0.161111582,0.05495860,1, 1,"c","7/TNAP5072__0_",  3.959775,  4.715412,  5.345563,  5.227634,  5.824326,  7.120592,  9.000000,"1"
"15476","/home/david/Música/Bioacustica/2016/5072/20160407/TNAP5072__0__20160407_020000.wav",0.8913306,0.9755390,0.4083454,0.9517462,0.165644172,0.6400468,0.139927239,0.002266940,0.2303428,0.6400782,0.5360797,0.63627148,0.607873971,0.64692190,0.68483261,0.619380704,0.80720915,0.729900970,0.661505974,0.84286340,1, 2,"c","7/TNAP5072__0_",  4.926542,  5.593959,  6.212133,  6.063565,  6.652382,  7.997349, 10.000000,"3"
