"","name","ACIf","ESM","MD","NDSI","MID","FM","WE","CF","SC","SB","Tonnets","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","label","hour","zone","site","ID_SUMMARY.Q.05","ID_SUMMARY.Q.25","ID_SUMMARY.MEAN","ID_SUMMARY.MEDIAN","ID_SUMMARY.Q.75","ID_SUMMARY.Q.95","ID_SUMMARY.OBS"
"21330","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_022000.wav",0.8920402,0.6771678,0.5546788,0.9889160,0.009202454,0.6694845,0.05014845,0.025776569,0.5218436,0.3814313,0.4571419,0.9062914,0.9203719,0.8987794,0.86706611,0.8040076,0.7149901,0.7821620,0.7352776,0.9549027,0, 2,"g","61221/T6M-3787",   5.362577,   6.134031,   7.011124,   6.723326,   7.948815,   9.129300,   1.000000
"21331","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_023000.wav",0.8915552,0.6840954,0.5518970,0.9900937,0.036809816,0.6720322,0.05226250,0.046346299,0.5195065,0.3666629,0.4332163,0.9007080,0.9207231,0.8814416,0.83812145,0.8194170,0.7865048,0.8099386,0.7864453,0.9379090,0, 2,"g","61221/T6M-3787",   5.414222,   6.034277,   6.687818,   6.472101,   7.050321,   8.836556,   2.000000
"21332","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_024000.wav",0.8920974,0.7020816,0.5553936,0.9904296,0.039877301,0.6667882,0.04700312,0.024630590,0.5136112,0.3609584,0.4514125,0.8869378,0.9286691,0.9169044,0.85364193,0.8579009,0.8076492,0.8523247,0.8283757,0.9610056,0, 2,"g","61221/T6M-3787",   5.371508,   5.995294,   6.529783,   6.400473,   6.891829,   8.361832,   3.000000
"21333","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_025000.wav",0.8916562,0.7917408,0.5532385,0.9873008,0.052147239,0.6486184,0.06255859,0.231479559,0.5256461,0.4032200,0.4390993,0.8937351,0.9257606,0.8893795,0.78342494,0.7957446,0.7873552,0.8439470,0.7639197,0.8379432,0, 2,"g","61221/T6M-3787",   5.413861,   6.019608,   6.547337,   6.408290,   6.890650,   8.411473,   4.000000
"21334","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_032000.wav",0.8924365,0.7865511,0.5524876,0.9875296,0.055214724,0.6456873,0.05294727,0.076914088,0.5124610,0.3965962,0.5685433,0.8134215,0.8756901,0.9081244,0.73735390,0.7386482,0.8024237,0.8092818,0.7084866,0.8469743,0, 3,"g","61221/T6M-3787",   5.582399,   6.035894,   6.442006,   6.384555,   6.775941,   7.387450,   5.000000
"21335","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_033000.wav",0.8918017,0.7339744,0.5674158,0.9822049,0.046012270,0.6637397,0.06842461,0.016566001,0.5298352,0.4364411,0.5221025,0.8662950,0.8931109,0.8759664,0.80941238,0.8192047,0.8105728,0.8010442,0.7704827,0.9164441,0, 3,"g","61221/T6M-3787",   5.565915,   6.032091,   6.412612,   6.381005,   6.762564,   7.298693,   6.000000
"21336","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_034000.wav",0.8911344,0.8263274,0.5694386,0.9865831,0.042944785,0.6736076,0.05649053,0.013019866,0.5284223,0.4059719,0.5285279,0.9098637,0.9169446,0.9225856,0.83820842,0.8263607,0.7848579,0.8255032,0.7829928,0.9240356,0, 3,"g","61221/T6M-3787",   5.582399,   6.035433,   6.401948,   6.379605,   6.753892,   7.253875,   7.000000
"21337","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_035000.wav",0.8925487,0.8291181,0.5659132,0.9855604,0.046012270,0.6714622,0.05897233,0.018929583,0.5270158,0.4121061,0.5179727,0.9069173,0.9523994,0.9081855,0.79603142,0.7940705,0.7767021,0.8068829,0.8270119,0.9098837,0, 3,"g","61221/T6M-3787",   5.598641,   6.035894,   6.403606,   6.380391,   6.757169,   7.253875,   8.000000
"21338","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_040000.wav",0.8915273,0.7665697,0.5613358,0.9851853,0.070552147,0.6566952,0.06323576,0.039709522,0.5296301,0.4169104,0.4299547,0.9163967,0.9169566,0.9171153,0.70578197,0.7437791,0.7986828,0.8267653,0.6504996,0.9269825,0, 4,"g","61221/T6M-3787",   5.582399,   6.035433,   6.442751,   6.392513,   6.780781,   7.390924,   9.000000
"21339","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_041000.wav",0.8914054,0.7552935,0.5453991,0.9874042,0.049079755,0.6279618,0.06363844,0.045885624,0.5303146,0.4111965,0.4328670,0.9287115,0.9338442,0.9175790,0.71968190,0.6458028,0.7870953,0.8123156,0.5799225,0.9057762,0, 4,"g","61221/T6M-3787",   5.598641,   6.037397,   6.411644,   6.381005,   6.762564,   7.294842,  10.000000
"21340","/media/microp/DavidDD/bioacustica/2016/3787/20161221/T6M-3787_20161221_042000.wav",0.8917875,0.7898895,0.5394946,0.9865803,0.049079755,0.6150282,0.06657137,0.038978118,0.5321766,0.4366733,0.4490746,0.9158413,0.9298426,0.9132662,0.74940142,0.6097762,0.7920788,0.7826834,0.6266926,0.9149774,0, 4,"g","61221/T6M-3787",   5.598641,   6.037397,   6.408216,   6.381005,   6.761535,   7.278491,  11.000000
